,Date,0,1,2,3,4,5,6,7,8,9
174,2025-01-14,POLYCAB,3116.0,50,2,6105.85,6229.35,6474.7,6329.75,6427.25,0
175,2025-01-14,POONAWALLA,1077.0,2.5,1,302.00,304.05,308.85,309.20,314.60,0
176,2025-01-14,POWERGRID,2940.0,2.5,3,281.25,286.15,290.25,290.85,295.55,0
177,2025-01-14,PRESTIGE,998.0,25,3,1384.05,1432.20,1426.3,1467.75,1516.35,0
178,2025-01-14,PVRINOX,2109.0,10,3,1065.70,1088.85,1086.25,1108.85,1125.80,0
179,2025-01-14,RAMCOCEM,2146.0,5,5,876.60,884.85,884.1,896.85,900.80,0
180,2025-01-14,RBLBANK,837.0,1.25,4,150.61,145.36,153.92,153.06,156.71,0
181,2025-01-14,RECLTD,12896.0,5,1,443.75,453.55,476.15,462.80,472.25,0
182,2025-01-14,RELIANCE,21260.0,5,0,1233.55,1243.35,1238.75,1252.80,1262.75,0
183,2025-01-14,SAIL,3213.0,1.25,2,101.06,103.31,105.88,105.76,108.06,0
184,2025-01-14,SBICARD,2688.0,2.5,0,709.95,715.35,734.7,723.85,723.85,0
185,2025-01-14,SBILIFE,1411.0,10,0,1445.20,1464.85,1499.25,1484.70,1501.95,3
186,2025-01-14,SBIN,26304.0,5,2,733.90,743.45,748.15,753.00,762.30,0
187,2025-01-14,SHREECEM,916.0,125,5,24034.80,null,25038.65,null,25169.40,2
188,2025-01-14,SHRIRAMFIN,3019.0,5,3,503.25,513.45,544.1,522.85,531.60,1
189,2025-01-14,SIEMENS,4406.0,50,3,5735.10,5834.75,5863.45,5928.95,6019.15,0
190,2025-01-14,SJVN,1941.0,1.25,3,90.53,92.68,94.04,95.13,97.33,0
191,2025-01-14,SONACOMS,794.0,5,2,563.25,571.40,569.9,575.40,594.20,0
192,2025-01-14,SRF,4375.0,10,0,2506.50,2526.05,2509.75,2545.05,2565.40,0
193,2025-01-14,SUNPHARMA,2242.0,10,2,1727.10,1746.65,1770.85,1766.15,1785.90,0
194,2025-01-14,SUNTV,471.0,5,3,642.80,652.45,658.0,664.60,682.55,0
195,2025-01-14,SUPREMEIND,1049.0,50,3,4058.65,4290.10,4366.05,4376.10,4505.45,4
196,2025-01-14,SYNGENE,2749.0,5,4,812.20,821.90,827.5,832.80,846.20,0
197,2025-01-14,TATACHEM,2031.0,10,2,948.00,966.75,965.5,985.25,1003.40,0
198,2025-01-14,TATACOMM,1443.0,10,2,1645.40,1665.30,1676.9,1684.05,1703.60,0
199,2025-01-14,TATACONSUM,1954.0,5,0,955.60,965.35,963.15,975.10,984.90,1
200,2025-01-14,TATAELXSI,2743.0,50,3,5885.70,5974.95,6084.8,6073.40,6232.95,0
201,2025-01-14,TATAMOTORS,24552.0,5,0,753.00,762.80,770.5,772.55,782.10,0
202,2025-01-14,TATAPOWER,9779.0,2.5,0,341.85,346.60,356.95,351.35,356.00,0
203,2025-01-14,TATASTEEL,10324.0,0.5,0,123.90,124.90,125.20,126.05,null,0
204,2025-01-14,TCS,25904.0,25,0,4190.30,4236.65,4233.05,4283.65,4330.15,2
205,2025-01-14,TECHM,2505.0,10,2,1625.60,1645.45,1647.5,1664.95,1685.95,0
206,2025-01-14,TIINDIA,2735.0,25,5,3320.40,null,3322.90,null,3437.65,2
207,2025-01-14,TITAN,3251.0,25,1,3314.75,3362.00,3322.5,3412.75,3460.90,1
208,2025-01-14,TORNTPHARM,2021.0,25,1,3171.50,3217.15,3252.4,3265.65,3326.20,0
209,2025-01-14,TRENT,7132.0,50,3,6125.55,6231.50,6161.15,6323.15,6403.95,0
210,2025-01-14,TVSMOTOR,3826.0,10,2,2179.80,2199.95,2216.00,2218.25,null,0
211,2025-01-14,UBL,1567.0,10,4,1912.55,1935.50,1965.3,1957.75,1982.30,0
212,2025-01-14,ULTRACEMCO,4376.0,50,4,10492.50,10601.85,10483.75,10696.80,10793.10,0
213,2025-01-14,UNIONBANK,2770.0,0.5,5,102.57,102.57,104.08,103.72,104.52,0
214,2025-01-14,UNITDSPR,3640.0,10,4,1409.20,1446.65,1407.25,1466.85,1485.05,0
215,2025-01-14,UPL,2237.0,1.4,2,529.70,null,538.00,null,543.15,2
216,2025-01-14,VBL,2837.0,5,2,548.35,561.20,566.3,571.15,579.35,0
217,2025-01-14,VEDL,8899.0,5,2,413.00,422.70,430.6,431.95,441.90,0
218,2025-01-14,VOLTAS,2564.0,10,2,1592.05,1610.20,1637.65,1630.50,1650.95,0
219,2025-01-14,WIPRO,3791.0,1.25,0,288.90,291.25,292.85,293.70,296.25,0
220,2025-01-14,YESBANK,1051.0,0.5,0,16.52,17.52,18.02,18.42,19.87,2
221,2025-01-14,ZOMATO,8495.0,2.5,2,226.75,231.60,233.6,236.55,241.55,0
222,2025-01-14,ZYDUSLIFE,1821.0,5,0,974.00,982.95,1000.15,993.35,1001.80,0
0,2025-01-13,AARTIIND,3333.0,2.5,0,416.00,421.15,409.45,426.55,431.05,1
1,2025-01-13,ABB,2995.0,50,3,6146.85,6218.70,6109.25,6311.30,6407.35,0
2,2025-01-13,ABBOTINDIA,763.0,125,5,28323.75,28297.65,28555.8,28921.85,29300.90,1
3,2025-01-13,ABCAPITAL,3767.0,1.25,2,170.07,172.67,169.84,172.67,175.22,0
4,2025-01-13,ABFRL,1756.0,2.5,4,262.35,266.95,260.4,271.70,276.95,0
5,2025-01-13,ACC,1976.0,10,4,1883.00,1902.40,1859.45,1924.50,1940.30,0
6,2025-01-13,ADANIENSOL,692.0,10,1,687.70,706.25,688.75,725.50,750.25,0
7,2025-01-13,ADANIENT,5554.0,10,1,2318.20,2339.00,2225.15,2357.50,2378.75,0
8,2025-01-13,ADANIGREEN,3245.0,10,2,878.25,907.20,889.75,930.60,947.35,0
9,2025-01-13,ADANIPORTS,4291.0,10,4,1064.30,1085.25,1066.65,1104.50,1122.45,0
10,2025-01-13,ALKEM,2137.0,25,4,5251.70,5326.00,5227.4,5361.15,5403.45,0
11,2025-01-13,AMBUJACEM,2011.0,2.5,6,496.60,500.85,493.2,506.35,510.45,0
