,Date,symbol,volume,pv,bullish risk,C2,C1,CMP,P1,P2,Bearish Risk
183,06-12-2024,NATIONALUM,2475,1.25,0,248.65,251.1,247.9,255.15,259.45,3
184,06-12-2024,NAUKRI,2399,50,0,8324.5,8415.9,8485.05,8522.4,8619.35,5
185,06-12-2024,NAVINFLUOR,774,25,1,3518.35,3573,3559.5,3623.25,3665.55,1
186,06-12-2024,NCC,623,2.5,5,310.65,314.7,319.75,326.25,null,4
187,06-12-2024,NESTLEIND,1404,10,1,2247.75,2267.4,2265,2286.25,2305.85,1
188,06-12-2024,NHPC,789,0.5,7,81.53,82.18,84.8,83.38,84.48,5
189,06-12-2024,NMDC,1159,2.5,2,231.58,236.13,239.25,241.03,246.78,1
190,06-12-2024,NTPC,4044,2.5,0,362,366.55,369.75,371.05,375.7,0
191,06-12-2024,NYKAA,935,1.25,2,163,165.75,166.75,168.45,170.85,5
192,06-12-2024,OBEROIRLTY,1473,10,0,2099.6,2114.65,2146,2134,2154.5,2
193,06-12-2024,OFSS,1684,125,1,12119.9,12355.75,12606.85,12591.1,12836.85,4
194,06-12-2024,OIL,1253,5,4,464.9,474.65,474.65,484.05,495.9,4
195,06-12-2024,ONGC,4471,0.5,0,258.6,261.2,260.15,263.55,266,0
196,06-12-2024,PAGEIND,817,250,4,45976.95,46100.05,46410.9,46838.35,null,5
197,06-12-2024,PAYTM,1213,10,1,928.05,946.4,975.35,965.9,984.4,1
198,06-12-2024,PEL,1000,10,0,1221.5,1241.8,1242,1261.25,1316.55,3
199,06-12-2024,PERSISTENT,2166,50,0,5934.2,6034.15,6178,6129.95,6225.5,3
200,06-12-2024,PETRONET,1399,1.5,2,335.5,337.3,335.4,339.85,345.05,3
201,06-12-2024,PFC,3125,5,0,503.8,513,513,522.4,532.25,1
202,06-12-2024,PIDILITIND,1476,10,0,3151.2,3177,3164.25,3194.75,3215.65,3
203,06-12-2024,PIIND,2853,25,2,4064.45,4102.65,4140,4154.35,4210.15,1
204,06-12-2024,PNB,2748,0.5,0,107.21,108.11,110.08,109.11,110.06,3
205,06-12-2024,POLICYBZR,917,25,2,1981.15,2020,2125,2067.9,2116.5,4
206,06-12-2024,POLYCAB,2045,50,0,7120.4,7225.95,7324,7323.5,7414.4,4
207,06-12-2024,POONAWALLA,628,2.5,4,352.1,357.4,359.05,362.65,null,5
208,06-12-2024,POWERGRID,2757,2.5,1,322.45,327.15,329.25,331.75,336.45,1
209,06-12-2024,PRESTIGE,696,25,2,1701.8,1728.95,1737.05,1785.6,1832.4,4
210,06-12-2024,PVRINOX,3459,10,0,1541.15,1561.85,1554.65,1581.05,1601.1,0
211,06-12-2024,RAMCOCEM,1083,5,0,999.65,1008.75,1012.05,1020.6,1029.4,0
212,06-12-2024,RBLBANK,6693,1.25,0,163.95,166.15,174.2,183.15,176.95,1
213,06-12-2024,RECLTD,3310,5,0,534.15,543.8,557.5,553.4,562.55,0
214,06-12-2024,RELIANCE,12374,5,0,1300.05,1309.25,1311.6,1318.75,1328.4,0
215,06-12-2024,SAIL,1235,1.25,1,120.68,122.93,123.73,125.78,128.03,0
216,06-12-2024,SBICARD,1803,2.5,0,713.4,718.5,718.7,723.45,728.6,1
217,06-12-2024,SBILIFE,2136,10,2,1404.85,1424.3,1447,1443.65,1462.85,1
218,06-12-2024,SBIN,11568,5,0,852.1,861.6,862.95,871,880.05,1
219,06-12-2024,SHREECEM,829,125,1,25991.8,26532.85,26999.1,26800.15,27105.8,3
